FID,the_geom,ID,LOCALIDAD,DISTRITO,DEPTO,C_POSTAL,DIST_MZA,POB_1980,POB_1991,POB_2001,POB_2010
localidades.162,POINT (-68.07681142644957 -35.52710643469874),179,Punta de Agua,Punta de Agua,San Rafael,5621,352,,,247,262
localidades.163,POINT (-68.51544908245022 -34.83094024697724),180,Valle Grande,El Nihuil,San Rafael,5600,262,,,,0
localidades.164,POINT (-67.0582146667327 -35.05172946289176),181,Los Huarpes,Bowen,General Alvear,5636,330,,,,0
localidades.165,POINT (-66.83113841032015 -35.10726819006487),182,La Mora,Bowen,General Alvear,5636,355,,,,0
localidades.166,POINT (-66.51175697908165 -35.200485862460255),183,Canalejas,Bowen,General Alvear,5636,388,,,,0
localidades.167,POINT (-67.33229960457571 -35.70763753587824),184,Cochicó,San Pedro del Atuel,General Alvear,5621,367,,,,0
localidades.168,POINT (-67.48032833228065 -34.65164850996914),185,Gaspar Campos,Bowen,General Alvear,5609,265,,,,0
localidades.169,POINT (-67.31263886401105 -34.67845266345079),186,Ovejeria,Bowen,General Alvear,5637,279,,,,0
localidades.170,POINT (-67.05588147865087 -34.70427712692008),187,Corral de Lorca,Bowen,General Alvear,5637,305,,,,0
localidades.171,POINT (-66.87584835475491 -34.72613388275855),188,Pampa del Tigre,Bowen,General Alvear,5637,321,,,,0
localidades.172,POINT (-66.69080164350547 -34.73534543162791),189,Media Luna,Bowen,General Alvear,6279,339,,,,0
localidades.173,POINT (-67.49771155284938 -34.93989200312353),190,La Escandinava,Bowen,General Alvear,5634,297,,,,0
localidades.174,POINT (-66.74104868570242 -34.09771161281916),191,Las Horquetas,La Paz,La Paz,5590,294,,,,0
localidades.175,POINT (-67.17935404347537 -33.398608819058815),192,Desaguadero,La Paz,La Paz,5598,175,,,559,593
localidades.176,POINT (-67.41271854633216 -33.50412959700768),193,Pirquita,La Paz,La Paz,5590,152,,,,0
localidades.177,POINT (-67.2548458553245 -33.55481398964261),194,Cadetes de Chile,La Paz,La Paz,5590,167,,,,0
localidades.178,POINT (-67.09991855993533 -33.60717661041453),195,Maquinista Levet,La Paz,La Paz,5590,182,,,,0
localidades.179,POINT (-67.2198906318172 -32.81723808033063),196,Arroyito,San Miguel,Lavalle,5537,158,,,,0
localidades.180,POINT (-67.28695130068 -32.60524578816328),84,El Forzudo,San Miguel,Lavalle,5537,184,,,,0
localidades.181,POINT (-67.39885529805105 -32.46956532111574),198,El Retamo,San Miguel,Lavalle,5537,199,,,,0
localidades.182,POINT (-67.53498281382132 -32.31443510160781),199,San Miguel,San Miguel,Lavalle,5537,176,,,,0
localidades.183,POINT (-68.19526571975274 -32.14679905123106),200,La Capilla,Laguna del Rosario,Lavalle,5535,135,,,,0
localidades.184,POINT (-68.09525962329727 -32.411736719916355),201,El Cavadito,Asunción,Lavalle,5535,102,,,,0
localidades.185,POINT (-68.21760271664016 -32.366567252061174),202,San José (L),Laguna del Rosario,Lavalle,5535,104,,,,0
localidades.186,POINT (-68.27127034700767 -32.577714186649395),203,Asunción,Asunción,Lavalle,5535,78,,,,0
localidades.187,POINT (-68.66864199119568 -32.80727926792479),204,Barrio La Pega,La Pega,Lavalle,5533,21,,,268,284
localidades.188,POINT (-67.80595093504601 -32.56815070961366),205,El Retiro,San Miguel,Lavalle,5533,151,,,,0
localidades.189,POINT (-69.01749582028376 -32.52869961321004),206,Villavicencio,Uspallata,Las Heras,5539,54,,,,120
localidades.190,POINT (-69.27367008428216 -32.959814042627094),208,El Salto,Potrerillos,Luján,5549,53,,115,361,383
localidades.191,POINT (-69.26705309084223 -33.0094202310488),209,Las Vegas,Potrerillos,Luján,5549,55,,140,225,239
localidades.192,POINT (-69.29613874920948 -33.023476819290494),210,Valle del Sol,Potrerillos,Luján,5549,59,,,165,175
localidades.193,POINT (-69.38383835369326 -32.97069358996648),211,Vallecitos,Potrerillos,Luján,5549,66,,,,0
localidades.194,POINT (-68.97804939169674 -33.04407311068236),212,Las Compuertas,Las Compuertas,Luján,5549,23,,172,141,149
localidades.195,POINT (-68.89892907270105 -33.01098446913898),213,Vistalba,Vistalba,Luján,5509,14,,,,2650
localidades.196,POINT (-68.85583898380798 -33.009765278858424),214,Mayor Drummond,Mayor Drummond,Luján,5507,14,,,,1580
localidades.197,POINT (-68.84796061306368 -32.97533390758094),215,Carrodilla,Carrodilla,Luján,5505,10,,,,2600
localidades.198,POINT (-68.8577782296201 -32.965117176678405),216,La Puntilla,La Puntilla,Luján,5505,8,,,,3420
localidades.199,POINT (-68.81618331193046 -32.88185907826327),217,Pedro Molina,Pedro Molina,Guaymallén,5519,3,,,,0
localidades.200,POINT (-68.79612853098016 -32.88477850325122),235,Belgrano,Belgrano,Guaymallén,5519,5,,,,0
localidades.201,POINT (-68.7849737240533 -32.87020397677398),240,Bermejo,Bermejo,Guaymallén,5533,6,,,,0
localidades.202,POINT (-68.76767356379703 -32.89003978673002),226,Buena Nueva,Buena Nueva,Guaymallén,5523,7,,,,1800
localidades.203,POINT (-68.81309455881686 -32.90958922590804),227,Las Cañas,Las Cañas,Guaymallén,5519,4,,,,0
localidades.204,POINT (-68.79860609257302 -32.92313898835661),228,San Francisco del Monte,San Francisco del Monte,Guaymallén,5503,6,,,,0
localidades.205,POINT (-68.8256852479283 -32.91039421461828),229,Dorrego,Dorrego,Guaymallén,5519,3,,,,0
localidades.206,POINT (-68.7731776024925 -32.92584921650476),230,Jesús Nazareno,Jesús Nazareno,Guaymallén,5523,8,,,,920
localidades.207,POINT (-68.7592210132472 -32.91205416740208),207,Capilla del Rosario,Capilla del Rosario,Guaymallén,5523,8,,,,500
localidades.208,POINT (-68.70011935922682 -32.94261133130173),232,Kilómetro 8,Kilómetro 8,Guaymallén,5525,16,,,,0
localidades.209,POINT (-68.80467441124962 -32.89654780644208),233,Nueva Ciudad,Nueva Ciudad,Guaymallén,5519,4,,,,752
localidades.210,POINT (-68.75420027537712 -32.96862241638836),234,Coquimbito,Coquimbito,Maipú,5513,13,,,,1800
localidades.211,POINT (-68.71998074576736 -33.09518122879082),165,Barrancas (Mpu),Barrancas,Maipú,5517,31,,,,1200
localidades.212,POINT (-68.80036272314298 -33.02680269410725),236,Cruz de Piedra,Cruz de Piedra,Maipú,5517,21,,575,775,822
localidades.213,POINT (-68.82006975566281 -33.04504886068132),237,Lunlunta,Lunlunta,Maipú,5517,22,,,,1500
localidades.214,POINT (-68.77688387454567 -33.01646680127219),238,Russell,Russel,Maipú,5517,21,,709,1983,2102
localidades.215,POINT (-68.79622668340504 -32.94820368322915),239,Luzuriaga,Luzuriaga,Maipú,5513,8,,,,2530
localidades.216,POINT (-68.78669978699247 -32.95728790619664),226,General Gutierrez,General Gutierrez,Maipú,5511,10,,,,0
localidades.217,POINT (-68.71031842532275 -32.97089730865175),225,General Ortega,General Ortega,Maipú,5517,16,,,,0
localidades.218,POINT (-68.40786239164068 -33.27232282330191),224,Los Campamentos,Los Campamentos,Rivadavia,5577,74,,1002,1057,1120
localidades.219,POINT (-68.43085617763539 -33.178796460433674),223,Mundo Nuevo (R),Mundo Nuevo (R),Rivadavia,5579,56,,317,278,295
localidades.220,POINT (-68.53355523084772 -33.18618729405133),221,Andrade,Andrade,Rivadavia,5575,56,,,196,208
localidades.221,POINT (-69.67846192537694 -34.179489792951074),160,Pampa de la Laguna,Pareditas,San Carlos,5569,212,,,,0
localidades.222,POINT (-69.04075672495446 -33.80446833618241),141,Casas Viejas,Ciudad de San Carlos,San Carlos,5569,107,,,,0
localidades.223,POINT (-69.03884941008336 -33.556559253160884),116,El Topón,El Totoral,Tunuyán,5560,81,,,,0
localidades.224,POINT (-69.04255777563814 -33.56475926316877),108,El Totoral,El Totoral,Tunuyán,5560,82,,,,0
localidades.225,POINT (-69.11171387660069 -33.574733115187236),62,Las Pintadas,Las Pintadas,Tunuyán,5560,90,,,,0
localidades.226,POINT (-68.38505372450437 -33.0703983679079),46,El Espino,El Espino,San Martín,5571,53,,,,0
localidades.227,POINT (-68.31540152988396 -33.11298833343668),41,El Ramblón,El Ramblón,San Martín,5582,60,,,,0
localidades.228,POINT (-68.32932411924814 -32.8869926382445),35,El Divisadero,El Divisadero,San Martín,5589,54,,,,0
localidades.229,POINT (-68.40531491832198 -32.85182127527642),16,El Central,El Central,San Martín,5589,47,,,,0
localidades.230,POINT (-68.83598831113167 -32.85322600011942),220,Ciudad de Las Heras,Ciudad de Las Heras,Las Heras,5539,5,,145680,169248,179403
localidades.231,POINT (-68.84952844841197 -32.8484711154765),219,La Cienaguita,La Cienaguita,Las Heras,5594,5,,,,0
localidades.232,POINT (-68.8219610996821 -32.82691305626482),131,El Resguardo,El Resguardo,Las Heras,5543,8,,,,0
localidades.233,POINT (-68.80288789250942 -32.85152867711284),112,El Plumerillo,El Plumerillo,Las Heras,5541,6,,,,0
localidades.234,POINT (-68.81370236053995 -32.86046620158596),113,El Zapallar,El Zapallar,Las Heras,5541,5,,,,0
localidades.235,POINT (-68.77832551638663 -32.847361631543464),63,El Algarrobal,El Algarrobal,Las Heras,5541,8,,,,0
localidades.236,POINT (-68.89583264123819 -32.86652247189129),241,El Challao,El Challao,Las Heras,5539,6,,,,850
localidades.237,POINT (-68.83263509081733 -32.83718101333967),243,Panqueua,Panqueua,Las Heras,5539,6,,,,0
localidades.238,POINT (-68.82599382004528 -32.80439824074206),242,Capdeville,Capdeville,Las Heras,5543,10,,,46,52
localidades.239,POINT (-68.70779548178615 -32.76927146612129),244,El Pastal,El Pastal,Las Heras,5541,21,,,,350
localidades.240,POINT (-68.44963606578536 -32.71976818236635),245,El Plumero,El Plumero,Lavalle,5535,46,,,,0
localidades.241,POINT (-68.53989383760603 -32.70633600306983),246,Colonia Palmera,La Palmera,Lavalle,5533,39,,,90,95
localidades.242,POINT (-68.39300211543245 -32.71151981058328),247,Colonia El Cármen,El Cármen,Lavalle,5535,52,,,,0
localidades.243,POINT (-68.52826100312411 -36.6314282991146),248,Agua del Toro (M),Agua Escondida,Malargüe,5611,505,,,,75
localidades.244,POINT (-69.58797846236163 -35.366393570821536),262,El Chacay,Ciudad de Malargüe,Malargüe,5613,424,,,,0
localidades.245,POINT (-68.67174260984814 -32.58736321725909),267,Jocolí (LH),Capdevila,Las Heras,5543,42,,,414,439
localidades.246,POINT (-68.53762915971231 -32.779905164366546),121,El Paramillo,Paramillo,Lavalle,5533,35,,,77,82
localidades.247,POINT (-68.61139021030641 -32.784855905817544),153,El Vergel,El Vergel,Lavalle,5533,29,,,229,243
localidades.248,POINT (-68.78999690560369 -32.90283666247055),152,Ciudad de Guaymallén,Villa Nueva,Guaymallén,5521,6,,200447,223365,236767
localidades.249,POINT (-68.47981880995668 -33.0959048297099),266,La Colonia (S),Ciudad de San Martín,San Martín,5570,42,,71530,79662,84442
localidades.250,POINT (-68.42786189524763 -33.27641245312682),265,La Florida,Los Campamentos,Rivadavia,5579,73,,1097,1622,1719
localidades.251,POINT (-68.60675461148666 -32.83136189899921),264,Las Violetas,Las Violetas,Lavalle,5533,26,,,69,73
localidades.252,POINT (-67.6399202386226 -34.96458111601074),263,Los Compartos,Ciudad de General Alvear,General Alvear,5621,278,,,401,425
localidades.253,POINT (-68.64189057191327 -34.59873727463306),261,Los Reyunos,Cuadro Benegas,San Rafael,5615,237,,,10,11
localidades.254,POINT (-68.66620185934342 -32.862355024992674),260,Puente de Hierro,Puente de Hierro,Guaymallén,5527,23,,2992,6290,6667
localidades.255,POINT (-68.69937710132591 -32.98132291545681),259,El Pedregal,Rodeo del Medio,Maipú,5529,19,,,215,228
localidades.256,POINT (-68.92428475677764 -33.07756913222094),258,Costa Flores,Perdriel,Luján,5509,26,,,418,443
localidades.257,POINT (-68.89130463912882 -32.86003948120172),257,Papagayos,El Challao,Las Heras,5549,6,,,26,28
localidades.258,POINT (-68.32788605392938 -33.32466884101408),256,La Esperanza,El Mirador,Rivadavia,5579,85,,210,227,241
localidades.259,POINT (-68.70879560864104 -33.043802298818534),255,Villa Seca,Fray Luis Beltrán,Maipú,5517,28,,,237,251
localidades.260,POINT (-68.4747334774605 -33.23121589684691),254,Barrio Rivadavia,Los Campamentos,Rivadavia,5577,65,,495,433,459
localidades.261,POINT (-68.40250432007247 -33.28760871917282),253,Barrio Cooperativa Los Campamentos,Los Campamentos,Rivadavia,5577,76,,,268,284
localidades.262,POINT (-69.12450246127932 -33.843087448821386),252,Barrio El Cepillo,Chilecito,San Carlos,5569,118,,,98,104
localidades.263,POINT (-68.90456083774387 -33.08278496215674),251,Barrio Perdriel IV,Perdriel,Luján,5509,26,,,339,359
localidades.264,POINT (-68.28172747713384 -34.6992023855353),250,El Tropezón,Cañada Seca,San Rafael,5603,243,,330,355,376
localidades.265,POINT (-68.24914632798377 -33.18515421524945),249,Barrio 12 de Octubre,12 de Octubre,Santa Rosa,5596,69,,,224,237
localidades.266,POINT (-67.68998464215831 -35.00642657481123),0,El Desvio,Ciudad de Gral Alvear,General Alvear,5620,280,,,,0
localidades.267,POINT (-68.68997899973485 -32.862328354633135),0,Colonia Molina,Colonia Segovia,Guaymallén,5525,15,,,,0
localidades.268,POINT (-67.48782982889327 -32.47103493648661),0,Lagunita,San Miguel,Lavalle,5537,199,,,,0
localidades.269,POINT (-68.64730550652125 -32.952572154674286),0,Colonia Bombal,Rodeo del Medio,Maipú,0,0,,,,0
localidades.270,POINT (-69.08321104463803 -34.96849303907315),0,Campo los italianos,El Nihuil,San Rafael,0,0,,,,0
localidades.271,POINT (-68.88518400573349 -34.88657107103176),0,Las Salinas,Cuadro Benegas,San Rafael,0,0,,,,0
