RUBRO,NOMBRE DE FANTASIA,CALLE,NRO.,LOCALIDAD,DEPARTAMENTO,DIRECCION COMPLETA,Latitude,Longitude,TELEFONOS,RES.,PROPIETARIO
BAR,NITZA FOREVER,REMEDIOS DE ESCALADA DE SAN MARTIN,2253,CIUDAD,CAPITAL,REMEDIOS DE ESCALADA DE SAN MARTIN 2253 CIUDAD CAPITAL,-34.67856980,-58.40584310,4299356,856/14,"PALACIO, RODRIGO ALBERTO"
CARRITO-BAR,BOULEVAR RIVADAVIA,SGTO.CABRAL Y CONSTITUCION,S/N,CIUDAD,RIVADAVIA,SGTO.CABRAL Y CONSTITUCION S/N CIUDAD RIVADAVIA,-35.33064330,-72.41039620,,480/87,"JOSE, ELIAS SAMUEL"
RESTAURANTE,BODEGAS SALENTEIN,RUTA,89,LOS ARBOLES,TUNUYAN,RUTA 89 LOS ARBOLES TUNUYAN,-33.58131850,-69.01533610,4411000,171/11,BODEGAS SALENTEIN
RESTAURANTE,MARIA ANTONIETA,BELGRANO,1069,CIUDAD,CAPITAL,BELGRANO 1069 CIUDAD CAPITAL,-32.88910077,-68.84949695,4204322,1035/13,LAS PEONIAS S.A.
CAF-PASTELERIA,CHURRICO,O'BRIEN,100,SAN JOSE,GUAYMALLEN,O'BRIEN 100 SAN JOSE GUAYMALLEN,-32.88773600,-68.82819560,4455348,147/83,AGUERO DANIEL
PANCHERIA,MANSO PANCHO,AV.SAN MARTIN SUR,2055,BENEGAS,GODOY CRUZ,AV.SAN MARTIN SUR 2055 BENEGAS GODOY CRUZ,-32.94597180,-68.85268580,4233553,021/15,AMERICAN FOOD S.A
RESTAURANTE,RINCON SUIZO,RUTA PANAMERICANA,KM.29,COLONIA SUIZA,LUJAN,RUTA PANAMERICANA KM.29 COLONIA SUIZA LUJAN,-34.56333120,-59.12088050,02624-156523708-156504346,631/95,
SANDWICHERIA,MC.DONALD'S,RUTA PANAMERICANA,2650,PALMARES,GODOY CRUZ,RUTA PANAMERICANA 2650 PALMARES GODOY CRUZ,-32.95570440,-68.85890340,4401115,707/97,ARCOS MENDOCINOS S.A.
CAF-BAR,MC POCHO,RUTA 7,S/N,USPALLATA,LAS HERAS,RUTA 7 S/N USPALLATA LAS HERAS,-32.60163020,-69.35134280,02624-420043,E/T,"VILLAMEA, ESTANISLAO"
HELADERIA,PLAZA BASTI,AV.HIPOLITO IRIGOYEN,1310,CIUDAD,SAN RAFAEL,AV.HIPOLITO IRIGOYEN 1310 CIUDAD SAN RAFAEL,-34.61049300,-68.34595000,,159/05,"RODRIGUEZ, MARIA DANIELA"
BAR,ZINC BAR,AV.ARISTIDES VILLANUEVA,161,CIUDAD,CAPITAL,AV.ARISTIDES VILLANUEVA 161 CIUDAD CAPITAL,-32.89252570,-68.85231320,155091588,067/16,"CONTE, CARLOS ADRIANO"
RESTAURANTE,BODEGAS Y VI¥EDOS FLORIO,VIDELA ARANDA,2301,CRUZ DE PIEDRA,MAIPU,VIDELA ARANDA 2301 CRUZ DE PIEDRA MAIPU,-33.03108980,-68.77721950,4990053,E/T,MERALVA S.A.
SANDWICHERIA,FUNDIOLA LOMOS,AGUINAGA,1396,CHACRAS DE CORIA,LUJAN,AGUINAGA 1396 CHACRAS DE CORIA LUJAN,-32.98608390,-68.88347080,4961722,530/13,FUNDIOLA S.A.
RESTAURANTE,PALADARES,BV.PEREZ CUESTA,3280,MZA.PLAZA SHOPPING,GUAYMALLEN,BV.PEREZ CUESTA 3280 MZA.PLAZA SHOPPING GUAYMALLEN,-32.90195070,-68.79746810,4490908,1226/14,COCINA TRADICIONAL S.A.
KIOSCO,CERRO DE LA GLORIA,CERRO DE LA GLORIA,S/N,PARQUE GRAL.SAN MARTIN,CAPITAL,CERRO DE LA GLORIA S/N PARQUE GRAL.SAN MARTIN CAPITAL,-32.88872890,-68.89118350,,031/05,"GAUNA,LUIS"
RESTAURANTE,SIN NOMBRE,RUTA PROV.82,"KM 35,5",CACHEUTA,LUJAN,"RUTA PROV.82 KM 35,5 CACHEUTA LUJAN",-33.01461880,-69.11852430,02624-490140,E/T,"RINALDI, ROSA"
CONF.BAILABLE,AL DIABLO,RUTA PANAMERICANA,S/N,,LUJAN,RUTA PANAMERICANA S/N LUJAN,-34.56333120,-59.12088050,,48/93,"SACGLIA,CARLOS DANIEL"
SANDWICHERIA,LAS VISCACHERAS,LAS VISCACHERAS,S/N,PARQUE GRAL.SAN MARTIN,CAPITAL,LAS VISCACHERAS S/N PARQUE GRAL.SAN MARTIN CAPITAL,-32.88539066,-68.87000563,,373/07,"SACOLLE, RICARDO"
BAR,LA CORDILLERA S.R.L.,AV. SAN MARTIN,1111,CIUDAD,MALARGUE,AV. SAN MARTIN 1111 CIUDAD MALARGUE,-35.47821090,-69.58489310,0260-4471089,474/04,"BUJALDON, ARNALDO"
PIZZERIA,7,COSTANERA NORTE,2309,PEDRO MOLINA,GUAYMALLEN,COSTANERA NORTE 2309 PEDRO MOLINA GUAYMALLEN,-32.87500000,-68.81694400,,377/86,"ORTIZ, RAIMUNDO L."
RESTAURANTE,CASA DEL VISITANTE,RUTA 33,"KM 7,5",FRAY LUIS BELTRAN,MAIPU,"RUTA 33 KM 7,5 FRAY LUIS BELTRAN MAIPU",-33.00661690,-68.64982230,4410000,364/14,VI¥A SANTA JULIA S.A.
RESTAURANTE,HOSTERIA EL NIHUIL,EL NIHUIL,S/N,EL NIHUIL,SAN RAFAEL,EL NIHUIL S/N EL NIHUIL SAN RAFAEL,-35.02877640,-68.67258910,0260-4494009,655/03,"GIMENEZ, MIRTA TERESITA"
RESTO-BAR,LA BOTICA,AV.SAN MARTIN,1072,CIUDAD,GODOY CRUZ,AV.SAN MARTIN 1072 CIUDAD GODOY CRUZ,-32.91367860,-68.84558160,4242950,488/04,"MASCARELL, HECTOR"
HELADERIA,GREEN,AVELLANEDA,57,CIUDAD,SAN RAFAEL,AVELLANEDA 57 CIUDAD SAN RAFAEL,-34.66107560,-58.36697390,,082/93,HEUNG -SHIK KYUNG
RESTAURANTE,LA CASITA DE ALE,AV.DEL SOL,S/N,POTRERILLOS,LUJAN,AV.DEL SOL S/N POTRERILLOS LUJAN,-33.01610190,-69.18814770,,423/12,"CHIAPPETTA, CARLOS ALBERTO"
SANDWICHERIA,TERRANOVA,AMEGHINO,6,CIUDAD,SAN RAFAEL,AMEGHINO 6 CIUDAD SAN RAFAEL,-34.84521680,-62.46642750,0260-4427335,479/04,"EDGARDO, NARVAEZ"
RESTAURANTE,LA PAZ,RUTA 7,KM. 900,LA PAZ,LA PAZ,RUTA 7 KM. 900 LA PAZ LA PAZ,-16.52265540,-68.08518710,02626-421351,459/04,SUSANA BEATRIZ MUSETTO DE ROLDAN
CAF-BAR,EL DESVIO,RUTA 144,S/N,EL NIHUIL,SAN RAFAEL,RUTA 144 S/N EL NIHUIL SAN RAFAEL,-34.90778140,-68.90040350,,551/94,ESTER CHAPOSCHNIKOFF
RESTAURANTE,BET EL PORTAL DE MENDOZA,RUTA 40,KM3338,JOCOLI,LAVALLE,RUTA 40 KM3338 JOCOLI LAVALLE,-32.58939360,-68.66909990,156291611,E/T,"CA¥IZARE, CLAUDIA GISEL"
CAF-BAR,CARA Y CECA,AV.ARISTIDES VILLANUEVA,290,CIUDAD,CAPITAL,AV.ARISTIDES VILLANUEVA 290 CIUDAD CAPITAL,-32.89262290,-68.85462620,4340007,E/T,FALUBA S.A.
CAF-BAR,PARIS,SARMIENTO Y PAMPA,S/N,CIUDAD,GUAYMALLEN,SARMIENTO Y PAMPA S/N CIUDAD GUAYMALLEN,-32.90282080,-68.80470040,4450675,N/T,"PARIS, JUSTO"
HELADERIA,SILVIA ANDREA,AV.SAN MARTIN,913,CIUDAD,TUNUYAN,AV.SAN MARTIN 913 CIUDAD TUNUYAN,-33.58050070,-69.01579490,02622-422523,767/97,"COMPAN, BERNARDO"
RESTAURANTE,QUINTA NORTE,AV.MITRE,1206,CIUDAD,CAPITAL,AV.MITRE 1206 CIUDAD CAPITAL,-32.88837490,-68.84446190,4253923,984/13,TRABAJADORES GASTRONOMICOS ASOCIADOS
RESTAURANTE,LA ESTANCIA GRILL,LAS CA¥AS,1883,LA BARRACA MALL,GUAYMALLEN,LAS CA¥AS 1883 LA BARRACA MALL GUAYMALLEN,-32.91588920,-68.82197320,4598087,132/18,LA ESTANCIA GRILL TUPUNGATO S.A.
BAR,ASTOR,SAN MARTIN,276,CIUDAD,LUJAN,SAN MARTIN 276 CIUDAD LUJAN,-34.56471420,-59.11844210,,066/05,"BEGUE, ANA MARIA"
CONFITERIA-BAR,LUFRAN,RUTA 7,S/N,USPALLATA,LAS HERAS,RUTA 7 S/N USPALLATA LAS HERAS,-32.60163020,-69.35134280,02624-420066,E/T,"CARRASCO, DELIA ROSA"
CONF.BAILABLE,JAQUE,BALLOFET,1903,CIUDAD,SAN RAFAEL,BALLOFET 1903 CIUDAD SAN RAFAEL,-34.62917170,-68.35889100,,51/85,"HERRERO, LUIS ALBERTO"
RESTAURANTE,COMO OLVIDARTE,AV.HIPOLITO IRIGOYEN,355,CIUDAD,SAN RAFAEL,AV.HIPOLITO IRIGOYEN 355 CIUDAD SAN RAFAEL,-34.61486090,-68.33442020,,855/14,"PERALTA, NESTOR"
SERVICOMPRAS,LUIS G.POZOBON S.R.L.,MAZA E YRIGOYEN,,GRAL.GUTIERREZ,MAIPU,MAZA E YRIGOYEN GRAL.GUTIERREZ MAIPU,-32.95074080,-68.79914090,4973654,E/T,"POZOBON, LUIS E HIJOS S.R.L."
BAR,PRODUCTO NACIONAL,AV.HIPOLITO IRIGOYEN,1578,CIUDAD,SAN RAFAEL,AV.HIPOLITO IRIGOYEN 1578 CIUDAD SAN RAFAEL,-34.60930030,-68.34924480,0260-1545377272,050/05,"RUFFO, ELENA NOEMI"
SANDWICHERIA,SHALAKO,AV.HIPOLITO IRIGOYEN,510,CIUDAD,SAN RAFAEL,AV.HIPOLITO IRIGOYEN 510 CIUDAD SAN RAFAEL,-34.61405230,-68.33610690,0260-4425250,N/T,"FERNANDEZ DE VILLAR, DALILA"
RESTAURANTE,INTI-CO,VILLA 25 DE MAYO,S/N,LOS REYUNOS,SAN RAFAEL,VILLA 25 DE MAYO S/N LOS REYUNOS SAN RAFAEL,-34.58565270,-68.54572680,,E/T,"MELLA, MAURO GABRIEL"
CONF.BAILABLE,CRAZY,ADOLFO CALLE,2800,EL CERRITO,SAN RAFAEL,ADOLFO CALLE 2800 EL CERRITO SAN RAFAEL,-34.58829810,-68.31871360,,228/93,"SALOMONE, LORENZO"
SANDWICHERIA,MR.DOG,ALEM,529,CIUDAD,CAPITAL,ALEM 529 CIUDAD CAPITAL,-32.89286791,-68.83272095,4323003,126/18,"FORNIES, ALFREDO GUILLERMO"
BAR,ALTOS DEL SOL,SAN MARTIN,153,CIUDAD,SAN RAFAEL,SAN MARTIN 153 CIUDAD SAN RAFAEL,37.97353460,-122.53108740,0260-4438120,259/05,"GUZZO, LUIS SALVADOR"
CAFETERIA,MAXIMO CAF,9 DE JULIO,1210,CIUDAD,CAPITAL,9 DE JULIO 1210 CIUDAD CAPITAL,-32.88897417,-68.84063496,,845/15,"LUCERO, ALEJANDRO RAFAEL"
CAF,DON FELIX,MDO.COOP.GLLEN.,S/N,,GUAYMALLEN,MDO.COOP.GLLEN. S/N GUAYMALLEN,-32.90282080,-68.80470040,,211/82,"MORALES, VICTORINO"
RESTAURANTE,CONCEPTO OLIVA,OZAMIS,1476,CIUDAD,MAIPU,OZAMIS 1476 CIUDAD MAIPU,-32.96723870,-68.78594000,261-6529393,069/18,"SAEZ, FEDERICO"
CONF.BAILABLE,SHI RYU,ROMERO DAY,S/N,EL CHALLAO,LAS HERAS,ROMERO DAY S/N EL CHALLAO LAS HERAS,-32.85239040,-68.89623140,4202133-4442395,219/99,"JOVER, HECTOR"
HELADERIA,FERRUCCIO SOPPELSA,ESPEJO,299,CIUDAD,CAPITAL,ESPEJO 299 CIUDAD CAPITAL,-32.88945870,-68.84583860,4254114,E/T,"SOPPELSA, LUIS AUGUSTO"
PIZZERIA,LA PALMERA,AV.SAN MARTIN,880,CIUDAD,GODOY CRUZ,AV.SAN MARTIN 880 CIUDAD GODOY CRUZ,-32.91547230,-68.84612360,4223339,010/05,"MALDONADO, DANTE ARIEL"
RESTAURANTE,NAHUEL,ACCESO ESTE LATERAL SUR,2089,VILLA NUEVA,GUAYMALLEN,ACCESO ESTE LATERAL SUR 2089 VILLA NUEVA GUAYMALLEN,-32.89841760,-68.81190300,,230/83,"ROSSI, CARLOS"
RESTAURANTE,LOS MAICITOS,RUTA PANAMERICANA,KM1000,BUEN ORDEN,SAN MARTIN,RUTA PANAMERICANA KM1000 BUEN ORDEN SAN MARTIN,-33.08064970,-68.47057000,0263-4431414,E/T,"MAIZ, JUAN ALDO"
RESTAURANTE,ITAMAE SUSHI MENDOZA,MONTEVIDEO,708,CIUDAD,CAPITAL,MONTEVIDEO 708 CIUDAD CAPITAL,-34.90550160,-56.18511470,4251170,E/T,EDO S.A.
RESTAURANTE,EL FARO BISTRO,AV.ESPA¥A,948,CIUDAD,CAPITAL,AV.ESPA¥A 948 CIUDAD CAPITAL,-32.89178140,-68.84264270,4252253,E/T,LAS LILAS S.A.
RESTAURANTE,MIRAFLORES,AV.ESPA¥A,1159,CIUDAD,CAPITAL,AV.ESPA¥A 1159 CIUDAD CAPITAL,-32.88958580,-68.84158300,4299693,E/T,"VALDEZ, BERTA GLADYS"
CAFETERIA,LOS JUJE¥OS,AV.GODOY CRUZ,71,CIUDAD,CAPITAL,AV.GODOY CRUZ 71 CIUDAD CAPITAL,-32.88371600,-68.83855580,4305464,861/14,"PASTOR, DANIEL EDGARDO"
SANDWICHERIA,LA POSTA DE LOS OLIVOS,SARMIENTO,500,CIUDAD,GODOY CRUZ,SARMIENTO 500 CIUDAD GODOY CRUZ,-32.93828270,-68.84152480,4350171,544/87,"SOTTANO,JUAN CARLOS"
CAFETERIA,MG CAF,AV.SAN MARTIN,719,CIUDAD,CAPITAL,AV.SAN MARTIN 719 CIUDAD CAPITAL,-32.89464820,-68.84009900,4202650,543/12,"MOSSO, MARIA GABRIELA"
PIZZERIA,MASCALZZONE,AV.JUAN B.JUSTO,114,CIUDAD,CAPITAL,AV.JUAN B.JUSTO 114 CIUDAD CAPITAL,-32.88426050,-68.85043590,4237478,522/08,"CASTILLO, NESTOR JAVEIR"
CAFETERIA,DUNKEN,PEATONAL SARMIENTO,256,CIUDAD,CAPITAL,PEATONAL SARMIENTO 256 CIUDAD CAPITAL,-32.89020300,-68.84278570,4236668,E/T,RICAS DELICIAS S.A.
BALNEARIO,AQUAPARK,ACC.SUR,1836,DORREGO,GUAYMALLEN,ACC.SUR 1836 DORREGO GUAYMALLEN,-33.02567700,-68.86057280,4271623,53/94,"BARBVEITO, JORGE"
RESTAURANTE,MC.DONALD'S,RUTA PANAMERICANA,2650,PALMARES,GODOY CRUZ,RUTA PANAMERICANA 2650 PALMARES GODOY CRUZ,-32.95570440,-68.85890340,4395050,91/08,ARCOS MENDOCINOS S.A.
PIZZERIA,SHAGGINIïS,ADOLFO CALLE,2834,VILLA NUEVA,GUAYMALLEN,ADOLFO CALLE 2834 VILLA NUEVA GUAYMALLEN,-32.90303900,-68.80437630,4218421,28/98,"ASSELBORN, OLGA SUSANA"
HELADERIA,SANTILLI,SAN MARTIN,1258,CIUDAD,TUNUYAN,SAN MARTIN 1258 CIUDAD TUNUYAN,-33.57680890,-69.01657020,,010/93,"SANTILLI, TEOBALDO DOMINGO"
RESTAURANTE,SAN FRANCISCO,RUTA 7,S/N,BUEN ORDEN,SAN MARTIN,RUTA 7 S/N BUEN ORDEN SAN MARTIN,-33.06752040,-68.46747270,0263-4422500,42/06,"GONZALEZ, CRISTIAN MARTIN"
RESTAURANTE,NAPOLETANO,AV.COLON,502,CIUDAD,CAPITAL,AV.COLON 502 CIUDAD CAPITAL,-32.89381730,-68.84755090,4236580,180/18,KEEP GOING S.R.L.
PARRILLADA,SAN JAVIER,RUTA NACIONAL 143,KM.23,,SAN RAFAEL,RUTA NACIONAL 143 KM.23 SAN RAFAEL,-34.62433880,-68.36949440,,318/93,"SPINELLO, ROSARIO CARMELO"
CONFITERIA,LIVERPOOL,AV.SAN MARTIN,1002,CIUDAD,CAPITAL,AV.SAN MARTIN 1002 CIUDAD CAPITAL,-32.89158000,-68.83985190,4201622,090/18,"ZAPATA, SATURNINO"
CAFETERIA,CONGRESO,9 DE JULIO,686,CIUDAD,CAPITAL,9 DE JULIO 686 CIUDAD CAPITAL,-32.89501517,-68.84207845,155860692,E/T,"BERENGER, OMAR ALBERTO"
CAFETERIA,FLAKOS,GUTIERREZ,420,CIUDAD,CAPITAL,GUTIERREZ 420 CIUDAD CAPITAL,-32.88751950,-68.84438496,4251104,192/07,"GONZALEZ, CONRADO DANTE"
PANADERIA,LA CATALANA,GARIBALDI,291,CIUDAD,CAPITAL,GARIBALDI 291 CIUDAD CAPITAL,-32.89127211,-68.83474728,4203066,E/T,UEN S.A.
HELADERIA,TIO VICENTE,MAZA,379,CIUDAD,MAIPU,MAZA 379 CIUDAD MAIPU,-33.51058660,-70.75726070,,533/86,"CABALLER, VICENTE"
RESTAURANTE,VILLAVICENCIO,RUTA PROV.52,S/N,VILLAVICENCIO,LAS HERAS,RUTA PROV.52 S/N VILLAVICENCIO LAS HERAS,4.14916880,-73.62854750,4396487,54/98,"ROMERO POLETIN, JORGE HUMBERTO"
PIZZERIA,MAURO,25 DE MAYO,130,CIUDAD,SAN MARTIN,25 DE MAYO 130 CIUDAD SAN MARTIN,-33.08484275,-68.47376195,0263-4421533,N/T,"MAURO, SOSA DE"
RESTAURANTE,SANCHO RESTO,AMIGORENA,69,CIUDAD,CAPITAL,AMIGORENA 69 CIUDAD CAPITAL,-32.89210950,-68.83876700,4964234,455/18,CORTIP S.A.
CAFETERIA,ANDESPORT,PARQUE PROVINCIAL ACONCAGUA,S/N,PARQUE ACONCAGUA,LAS HERAS,PARQUE PROVINCIAL ACONCAGUA S/N PARQUE ACONCAGUA LAS HERAS,-32.65317900,-70.01086750,155525051,E/T,"AGšERO, MONICA PATRICIA"
SANDWICHERIA,ATENAS,PEATONAL SARMIENTO,25,CIUDAD,CAPITAL,PEATONAL SARMIENTO 25 CIUDAD CAPITAL,-32.89038000,-68.83983900,,045/18,AGROINDUSTRIAS CUYO S.A.
RESTAURANTE,OMAKI SUSHI SHOPPING,BV.PEREZ CUESTA,3280,MZA.PLAZA SHOPPING,GUAYMALLEN,BV.PEREZ CUESTA 3280 MZA.PLAZA SHOPPING GUAYMALLEN,-32.90195070,-68.79746810,4232216,454/18,ORGANIZACIàN Y GESTION S.A.
RESTAURANTE,LA BUENA COSECHA,BELGRANO,545,CIUDAD,TUPUNGATO,BELGRANO 545 CIUDAD TUPUNGATO,-33.37280360,-69.14755830,02622-15404392,517/10,"AGUADO, MARIELA CARINA"
RESTAURANTE,DOROTEA,LAS CA¥AS,1883,LA BARRACA MALL,GUAYMALLEN,LAS CA¥AS 1883 LA BARRACA MALL GUAYMALLEN,-32.91588920,-68.82197320,4588011,E/T,ALFAU S.A.
RESTAURANTE,LA VID,RUTA PROV.15,"KM.23,5",PERDRIEL,LUJAN,"RUTA PROV.15 KM.23,5 PERDRIEL LUJAN",-33.07676410,-68.88553380,4909790,322/11,BODEGA NORTON S.A.
CAFETERIA,R-19,BELGRANO,607-617,CIUDAD,CAPITAL,BELGRANO 607-617 CIUDAD CAPITAL,-32.89393981,-68.85078456,154161414,042/05,"LATORRE, LUIS SANTIAGO"
RESTAURANTE,REY DE LA MILANESA,PATRICIAS MENDOCINAS,1472,CIUDAD,CAPITAL,PATRICIAS MENDOCINAS 1472 CIUDAD CAPITAL,-32.88593510,-68.84224700,4293132,E/T,"SOSA, MARIO LUIS"
HELADERIA,SPAZIO,AV. EL LIBERTADOR,133,PALMIRA,SAN MARTIN,AV. EL LIBERTADOR 133 PALMIRA SAN MARTIN,-33.05179680,-68.56142740,,336/93,"ESCUDERO, CARLOS"
SANDWICHERIA,URQUIZA SANDWICH,URQUIZA,S/N,CIUDAD,TUPUNGATO,URQUIZA S/N CIUDAD TUPUNGATO,-33.37280360,-69.14755830,02622-488521,027/05,"NAHIR, SAUD GRACIELA"
RESTAURANTE,JOCKEY CLUB,BELGRANO,330,CIUDAD,SAN RAFAEL,BELGRANO 330 CIUDAD SAN RAFAEL,-34.61289220,-68.33906220,0260-4422336,N/T,"LOYOLA, MODESTO ELEUTERIO"
PIZZERIA,RIKA PIZZA,URQUIZA,S/N,CIUDAD,TUPUNGATO,URQUIZA S/N CIUDAD TUPUNGATO,-33.37280360,-69.14755830,02622-488521,E/T,"NAHIR, SAUD GRACIELA"
HELADERIA,LA DELICIA,BUENOS AIRES,49,CIUDAD,SAN RAFAEL,BUENOS AIRES 49 CIUDAD SAN RAFAEL,-34.60368440,-58.38155910,,N/T,"RAFFAELI, GUISELA M. DE"
RESTAURANTE,BODEGAS CHANDON,RUTA PROV.15,KM.29,AGRELO,LUJAN,RUTA PROV.15 KM.29 AGRELO LUJAN,-33.12222550,-68.88929770,4909900,320/11,BODEGAS CHANDON S.A.
RESTAURANTE,MI RINCON,AV.GODOY CRUZ,131,CIUDAD,SAN RAFAEL,AV.GODOY CRUZ 131 CIUDAD SAN RAFAEL,-34.61702460,-68.33305000,,N/T,"GUTIERREZ, MANUEL"
SANDWICHERIA,ZIPE ZAPPA,RUTA 144,S/N,CUADRO BENEGAS,SAN RAFAEL,RUTA 144 S/N CUADRO BENEGAS SAN RAFAEL,-34.90778140,-68.90040350,,N/T,"ALAN, MARTA DE"
CHOCOLATERIA,HANSEL Y GRETEL,AV.DEL SOL,S/N,PIEDRAS BLANCAS,LUJAN,AV.DEL SOL S/N PIEDRAS BLANCAS LUJAN,-34.56333120,-59.12088050,154674192,788/15,"GRAMAGLIA, HUGO ALBERTO"
PANADERIA,PANADERIA SABROPAN,AV.SAN MARTIN,585,CIUDAD,LUJAN,AV.SAN MARTIN 585 CIUDAD LUJAN,-34.56600621,-59.11403237,0261-4982393,E/T,"PEREZ CARRILLO, PEDRO JAVIER"
RESTAURANTE,LAZARO,CORONEL SUAREZ,194,CIUDAD,SAN RAFAEL,CORONEL SUAREZ 194 CIUDAD SAN RAFAEL,-34.61637940,-68.33304430,,72/85,"LAZARO,MIGUEL"
RESTAURANTE,GIMENEZ,AV.GODOY CRUZ,120,CIUDAD,SAN RAFAEL,AV.GODOY CRUZ 120 CIUDAD SAN RAFAEL,-34.61680570,-68.33335690,,84/85,"GIMENEZ,AURELIA NOEMI"
RESTAURANTE,EL MUNDO DEL JAMON,AV.GODOY CRUZ,506,CIUDAD,CAPITAL,AV.GODOY CRUZ 506 CIUDAD CAPITAL,-32.88315860,-68.84439600,4201375,E/T,"ROMERO, JORGE HUMBERTO"
RESTAURANTE,AL PUESTO,25 DE MAYO Y RUTA PROV.50,,CIUDAD,LA PAZ,25 DE MAYO Y RUTA PROV.50 CIUDAD LA PAZ,-16.48968900,-68.11929360,154547682,E/T,AL PUESTO S.A.
BUFFET,ESTACION CAR,RUTA NACIONAL 143,S/N,SALTO DE LAS ROSAS,SAN RAFAEL,RUTA NACIONAL 143 S/N SALTO DE LAS ROSAS SAN RAFAEL,-34.72675460,-68.23102330,,N/T,"ISMAEL,OSCAR"
RESTAURANTE,DORY,LOS ANDES,222,VILLA 25 DE MAYO,SAN RAFAEL,LOS ANDES 222 VILLA 25 DE MAYO SAN RAFAEL,-34.58565270,-68.54572680,,701/85,"OCHIPINTI,JOSE"
HELADERIA,FERRUCCIO SOPPELSA,BV.PEREZ CUESTA,3280,MZA.PLAZA SHOPPING,GUAYMALLEN,BV.PEREZ CUESTA 3280 MZA.PLAZA SHOPPING GUAYMALLEN,-32.90195070,-68.79746810,4490914,E/T,"ZALAZAR,TORRES Y RAGUZA S.H."
SANDWICHERIA,CHARLY,PEDRO B.PALACIOS,2268,CIUDAD,CAPITAL,PEDRO B.PALACIOS 2268 CIUDAD CAPITAL,-32.87740410,-68.82706710,4296096,109/98,"MEZZENASCO, ANTONIO R."
RESTAURANTE,SAFARI,EMILIO CIVIT,81,LAS CATITAS,SANTA ROSA,EMILIO CIVIT 81 LAS CATITAS SANTA ROSA,-33.29951240,-68.04704760,02623-495245,E/T,"DI GERONIMO, CARLOS"
CABARET,EL MOLINO ROJO DE SANDRA,TIRASSO,5800,CIUDAD,SAN RAFAEL,TIRASSO 5800 CIUDAD SAN RAFAEL,-34.57036420,-68.29251720,,N/T,"LEIVA,ERMINDA"
RESTAURANTE,DAVVERO,SAN LORENZO,230,CIUDAD,CAPITAL,SAN LORENZO 230 CIUDAD CAPITAL,-32.89328984,-68.84331196,4340236,028/05,"LEONE, MARCELO"
CONF.BAILABLE,LE PONT,CABILDO ABIERTO,1800,EL NIHUIL,SAN RAFAEL,CABILDO ABIERTO 1800 EL NIHUIL SAN RAFAEL,-35.02877640,-68.67258910,,102/91,"CANEPA,EDUARDO JORGE"
CAF-BAR,CUPIDO,AV.BULOGNE SUR MER,32,CIUDAD,SAN MARTIN,AV.BULOGNE SUR MER 32 CIUDAD SAN MARTIN,-34.68745080,-58.52176410,0263-4422581,146/07,"CONTRERA, MARIO RAUL"
BAR,AL TOQUE BAR,AV.ARISTIDES VILLANUEVA,295,CIUDAD,CAPITAL,AV.ARISTIDES VILLANUEVA 295 CIUDAD CAPITAL,-32.89209120,-68.85452040,155688777,E/T,"RENNA, ANA MARIA"
RESTAURANTE,TARASCON AL POLLO,MARTINEZ DE ROSAS,1498,CIUDAD,CAPITAL,MARTINEZ DE ROSAS 1498 CIUDAD CAPITAL,-32.88404710,-68.85476150,4250835,310/05,BATOM S.R.L.
CAF,CAF DE LA CIUDAD,CHILE,1315,CIUDAD,SAN RAFAEL,CHILE 1315 CIUDAD SAN RAFAEL,-35.67514700,-71.54296900,0260-4425116,135/98,"TAPIA, LEONARDO ANTONIO"
CAFETERIA,PISCIS,GRAL.PAZ,133,CIUDAD,CAPITAL,GRAL.PAZ 133 CIUDAD CAPITAL,-32.88473160,-68.83960950,4571186,834/12,"BIAGIO, JORGE"
HELADERIA,DOLCE PANNA,PESCARA Y SARMIENTO,,CIUDAD,MAIPU,PESCARA Y SARMIENTO CIUDAD MAIPU,42.46176240,14.21603210,4977156,1204/14,MAJESTAD S.A.
RESTAURANTE,HOSTERIA DEL ARCO,RUTA 7,866,DESAGUADERO,LA PAZ,RUTA 7 866 DESAGUADERO LA PAZ,-16.48968900,-68.11929360,0626-499229,E/T,INVERSORES PRIVADOS ARGENTINOS S.A.
RESTAURANTE,PATIO ANDINO,RUTA 7,S/N,USPALLATA,LAS HERAS,RUTA 7 S/N USPALLATA LAS HERAS,-32.60163020,-69.35134280,,E/T,"PIANTINI, SERGIO DANIEL"
HELADERIA,FERRUCCIO SOPPELSA,LINCOLN Y GAGUARDI,,,GUAYMALLEN,LINCOLN Y GAGUARDI GUAYMALLEN,-32.90282080,-68.80470040,,E/T,"CHIARELLO, JUAN HUMBERTO"
RESTAURANTE,LA PIADINA,ITALIA,5723,CHACRAS DE CORIA,LUJAN,ITALIA 5723 CHACRAS DE CORIA LUJAN,-32.98441950,-68.87952310,4964068,285/05,"BRUNETTTI, MARIA GABRIELA"
RESTAURANTE,DIFUNTA CORREA,RUTA 7,KM.940,LA DORMIDA,SANTA ROSA,RUTA 7 KM.940 LA DORMIDA SANTA ROSA,-33.34164670,-67.90196690,02623-493123,473/10,AYKANA S.A.
RESTAURANTE,MONTECATINI,RUTA PANAMERICANA,2650,PALMARES,GODOY CRUZ,RUTA PANAMERICANA 2650 PALMARES GODOY CRUZ,-32.95570440,-68.85890340,4401097,098/05,LA ALTA CUCINA S.A.
