RUBRO,NOMBRE DE FANTASIA,CALLE,NRO.,LOCALIDAD,DEPARTAMENTO,DIRECCION COMPLETA,Latitude,Longitude,TELEFONOS,RES.,PROPIETARIO
RESTAURANTE,WINE & CIRCO,EJERCITO DE LOS ANDES,S/N,LA CONSULTA,SAN CARLOS,EJERCITO DE LOS ANDES S/N LA CONSULTA SAN CARLOS,-33.73554300,-69.12031650,,E/T,GAMBETA EMPRENDIMIENTOS S.A.
RESTAURANTE,CUYAN-CO TRUCHAS,CAMINO DEL DIQUE,S/N,DIQUE BLAS BRISOLI,MALARGUE,CAMINO DEL DIQUE S/N DIQUE BLAS BRISOLI MALARGUE,-35.48446200,-69.57974950,0260-154661917,067/05,"GATICA, CESAR RAMON"
HELADERIA,ZUCKERSUSS,MARTINEZ DE ROSAS,1365,CIUDAD,CAPITAL,MARTINEZ DE ROSAS 1365 CIUDAD CAPITAL,-32.88529400,-68.85479620,4292930,406/08,"CASSOLA, CLAUDIA YOLANDA"
HELADERIA,ITALIA,SAENZ PE¥A,195,CIUDAD,LUJAN,SAENZ PE¥A 195 CIUDAD LUJAN,-33.03776752,-68.88238166,4980013,N/T,"CARDIN, ADRIANA DE"
RESTAURANTE,EL CAMIONERO,RUTA 7,S/N,USPALLATA,LAS HERAS,RUTA 7 S/N USPALLATA LAS HERAS,-32.60163020,-69.35134280,02624-420411,73/92,"ALLENDES AGUILERA DE IBARRA,HERMINIA DEL CARMEN"
BAR,SIROCO,PEDRO MOLINA,295,CIUDAD,CAPITAL,PEDRO MOLINA 295 CIUDAD CAPITAL,-32.89608490,-68.84461829,4234060,E/T,"TOSO, BRUNO"
SERVICOMPRAS,LA ROTONDA,BELGRANO,1201,CIUDAD,TUPUNGATO,BELGRANO 1201 CIUDAD TUPUNGATO,-33.37280360,-69.14755830,02622-489094,122/18,YARAS S.A.
RESTAURANTE,PANDOLFI,BANDERA DE LOS ANDES,2668,VILLA NUEVA,GUAYMALLEN,BANDERA DE LOS ANDES 2668 VILLA NUEVA GUAYMALLEN,-32.89690780,-68.80363620,4451773,418/99,"PANDOLFI, JOSE OSVALDO"
CAF-BAR,EL REFUGIO,AV.SAN MARTIN,1186,CIUDAD,TUNUYAN,AV.SAN MARTIN 1186 CIUDAD TUNUYAN,-33.57772380,-69.01642510,02622-424316,312/08,"LOBOS, GRISELDA DANISE"
RESTAURANTE,ANTARES BREW PUB,AV.ARISTIDES VILLANUEVA,153,CIUDAD,CAPITAL,AV.ARISTIDES VILLANUEVA 153 CIUDAD CAPITAL,-32.89249290,-68.85212690,4238327,166/13,CONSTELACIàN SCORPIUS S.A.
